dTransDataVendita,hTransOraVendita,CodiceAcquirente,iProdID,vchClasseProdottoDescrizione,vchSpecieDescrizione,nTransQuantita,nTransPrezzoUnitario,nTransPrezzoVendita,nTransPrezzoFinale,iTransProgressivoBarca,iProduttoreID,iQualitaID,vchQualitaDescrizione,nNumCasse
2002/9/20,05:31,80,97,GRANDE,Triglia Eviscerata,15.92,1.01,16.08,16.08,10,139,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,05:31,109,56,GRANDE,Pannocchie Stivate,11.18,2.44,27.28,27.28,11,139,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,05:32,174,15,PICCOLA,Nasello,4.95,4.46,22.08,22.08,12,139,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:34,278,97,GRANDE,Triglia Eviscerata,15.3,1.21,18.51,18.51,13,139,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,05:35,153,56,GRANDE,Pannocchie Stivate,13.05,2.45,31.97,31.97,17,139,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,05:36,78,56,GRANDE,Pannocchie Stivate,7.56,2.88,21.77,21.77,1,95,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:37,278,56,GRANDE,Pannocchie Stivate,12.95,2.94,38.07,38.07,2,95,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,05:43,187,2,GRANDE,Seppia,8.4,5.09,42.76,42.76,10,95,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:44,159,11,MEDIA,Sogliola,6.88,5.33,36.67,36.67,12,95,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:48,106,10,GRANDE,Sogliola,6.31,5.78,36.47,36.47,17,95,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:48,278,56,GRANDE,Pannocchie Stivate,7.47,2.94,21.96,21.96,18,95,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:49,174,10,GRANDE,Sogliola,5.81,5.67,32.94,32.94,19,95,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:49,269,11,MEDIA,Sogliola,5.81,5.65,32.83,32.83,20,95,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:54,91,56,GRANDE,Pannocchie Stivate,5.98,3.56,21.29,21.29,1,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:55,86,6,GRANDE,Scampo,1.35,56.94,76.87,76.87,1,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:55,247,2,GRANDE,Seppia,7.89,5.37,42.37,42.37,3,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:56,174,78,GRANDE,Misto di Seconda scelta,3.11,3.43,10.67,10.67,4,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:56,163,56,GRANDE,Pannocchie Stivate,5.76,2.19,12.61,12.61,5,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:57,247,86,GRANDE,Molo,5.43,1.75,9.5,9.5,7,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:58,80,78,GRANDE,Misto di Seconda scelta,5.2,0.51,2.65,2.65,8,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:58,145,38,GRANDE,Calamaro,7.34,7.06,51.82,51.82,9,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,05:59,130,15,PICCOLA,Nasello,6.07,1.07,6.49,6.49,12,138,2,Molto fresco e ben conservato (48 ore),1
