Session,Subject,R1,R2,R3,R4,R5,R6,R7,R8,R9,Treatment,team
1,1,0,0,0,0,10,10,0,0,0,individual,NA
1,2,0,0,30,40,40,0,0,0,20,individual,NA
1,3,30,30,0,0,0,60,60,10,0,individual,NA
1,4,20,0,100,0,0,30,75,100,100,individual,NA
1,5,100,100,100,100,100,100,100,100,100,individual,NA
1,6,100,100,100,100,100,100,100,0,0,individual,NA
1,7,50,20,35,5,0,50,0,25,0,individual,NA
1,8,20,50,50,50,50,50,0,0,0,individual,NA
1,9,20,30,10,50,0,20,80,0,20,individual,NA
1,10,20,0,0,0,0,20,0,50,50,individual,NA
1,11,50,0,100,100,100,100,100,100,0,individual,NA
1,12,66,1,15,15,20,20,20,20,30,individual,NA
1,13,30,30,30,50,30,80,80,80,80,individual,NA
1,14,15,20,25,40,100,20,25,50,10,individual,NA
1,15,33,67,77,50,51,22,66,50,65,individual,NA
1,16,20,10,50,1,10,30,2,20,90,individual,NA
1,17,100,100,100,100,100,100,100,100,100,individual,NA
1,18,45,40,30,25,45,33,5,10,100,individual,NA
1,19,50,50,50,0,0,50,0,0,50,individual,NA
1,20,60,50,50,60,60,50,50,60,50,individual,NA
1,21,50,60,50,50,60,60,70,20,20,individual,NA
1,22,15,18,10,5,5,5,0,0,100,individual,NA
1,23,50,50,50,50,50,50,60,100,65,individual,NA
1,24,50,30,50,30,20,20,40,20,90,individual,NA
2,1,50,60,100,0,50,25,0,0,0,individual,NA
2,2,25,15,30,50,25,40,5,0,25,individual,NA
2,3,50,25,25,75,25,25,100,75,100,individual,NA
2,4,35,25,15,15,0,0,20,0,0,individual,NA
2,5,100,100,50,100,0,0,0,0,0,individual,NA
2,6,20,30,30,10,10,10,20,10,30,individual,NA
2,7,10,10,20,20,20,10,25,30,30,individual,NA
2,8,50,0,0,0,100,0,0,100,100,individual,NA
2,9,40,60,60,100,50,50,60,50,100,individual,NA
2,10,45,55,50,60,85,99,99,90,90,individual,NA
2,11,50,50,100,0,0,0,0,0,0,individual,NA
2,12,22,33,28,50,30,37,35,30,33,individual,NA
2,13,60,50,20,30,40,70,100,100,100,individual,NA
2,14,75,25,0,50,50,25,75,0,25,individual,NA
2,15,20,0,0,0,0,0,0,0,0,individual,NA
2,16,100,50,100,50,70,100,50,50,0,individual,NA
2,17,35,50,49,55,44,81,47,46,66,individual,NA
2,18,50,40,50,50,40,45,40,45,45,individual,NA
2,19,50,25,50,10,10,1,1,1,0,individual,NA
2,20,0,0,0,0,0,0,0,0,0,individual,NA
2,21,25,75,100,100,0,0,0,0,100,individual,NA
2,22,66,66,33,99,99,99,99,10,0,individual,NA
2,23,20,10,15,14,14,10,0,10,35,individual,NA
2,24,10,10,10,20,20,30,60,100,20,individual,NA
3,1,30,50,20,15,40,30,5,35,50,individual,NA
3,2,33,33,33,33,33,33,33,33,33,individual,NA
3,3,80,70,100,20,50,10,40,70,10,individual,NA
3,4,5,10,10,20,10,20,5,15,5,individual,NA
3,5,70,60,50,40,100,100,100,100,100,individual,NA
3,6,30,30,10,20,30,60,40,50,100,individual,NA
3,7,33,33,33,33,66,33,33,33,33,individual,NA
3,8,24,30,31,32,33,33,33,33,33,individual,NA
3,9,30,20,30,40,40,20,30,40,20,individual,NA
3,10,50,0,0,0,0,75,100,0,0,individual,NA
3,11,20,30,40,100,70,36,50,20,11,individual,NA
3,12,38,45,12,58,63,39,41,18,90,individual,NA
3,13,30,25,50,60,10,20,40,40,70,individual,NA
3,14,60,70,100,0,80,70,100,90,10,individual,NA
3,15,50,30,50,50,50,50,50,50,100,individual,NA
3,16,50,50,50,25,40,50,38,40,50,individual,NA
1,1,33,20,33,33,80,100,100,66,0,teamtreat,1
1,2,15,1,10,50,15,15,100,15,1,teamtreat,2
1,3,75,70,80,70,20,20,35,70,85,teamtreat,3
1,4,100,100,50,50,50,100,50,50,0,teamtreat,4
